Category,Title,Exp_Years,Key_Skills,Location,Salary_Min,Salary_Max,Employment,Remote,Summary
Data Scientist,Data Scientist (Active Learning),3-5,"Python, Query Strategies, Labeling Efficiency",Москва,135000,225000,Полная,Гибрид,"Активное обучение."
Full Stack,Full Stack Developer (Progressive Enhancement),3-5,"React, SSR, Hydration, Accessibility",Регионы,105000,175000,Полная,Удалённо,"Прогрессивное улучшение."
Full Stack,Full Stack Developer (Jamstack),3-5,"Next.js, Headless CMS, CDN, Static, Dynamic",Москва,115000,190000,Полная,Гибрид,"Jamstack. Статические сайты."
Мобильный разработчик,iOS Developer (Testing),3-5,"Swift, XCTest, UI Testing, Mocking, CI",Москва,120000,195000,Полная,Гибрид,"Тестирование iOS."
Мобильный разработчик,Android Developer (Testing),3-5,"Kotlin, JUnit, Espresso, Mocking, CI",Москва,115000,190000,Полная,Гибрид,"Тестирование Android."
ML Engineer,ML Engineer (Pipeline),3-5,"Python, Airflow, ML Pipelines, Orchestration",Москва,135000,225000,Полная,Гибрид,"Оркестрация пайплайнов."
ML Engineer,ML Engineer (Versioning),3-5,"Python, DVC, MLflow, Data Versioning",Москва,130000,220000,Полная,Гибрид,"Версионирование данных и моделей."
Cloud Engineer,Cloud Engineer (Secrets Management),4-6,"Vault, AWS Secrets, KMS, Security, Rotation",Москва,150000,250000,Полная,Гибрид,"Управление секретами."
Cloud Engineer,Cloud Engineer (Policy as Code),4-6,"OPA, Sentinel, Policy, Compliance, Automation",Москва,145000,240000,Полная,Гибрид,"Политики как код."
Фронтенд-разработчик,Frontend Developer (Error Handling),3-5,"React, Error Boundaries, Logging, UX",Регионы,100000,165000,Полная,Удалённо,"Обработка ошибок."
Фронтенд-разработчик,Frontend Developer (Analytics),3-5,"React, GA4, Mixpanel, Tracking, Privacy",Москва,110000,180000,Полная,Гибрид,"Аналитика. Трекинг."
Бэкенд-разработчик,Backend Developer (Health Checks),3-5,"Health Endpoints, Readiness, Liveness",Москва,120000,195000,Полная,Да,"Health checks. Мониторинг."
Бэкенд-разработчик,Backend Developer (Graceful Shutdown),3-5,"Signal Handling, Cleanup, Drain, Reliability",Москва,125000,200000,Полная,Гибрид,"Корректное завершение."
Python-разработчик,Python Developer (Profiling),3-5,"Python, cProfile, Py-Spy, Optimization",Регионы,100000,165000,Полная,Удалённо,"Профилирование. Оптимизация."
Python-разработчик,Python Developer (Memory),3-5,"Python, Memory Management, GC, Optimization",Москва,110000,180000,Полная,Гибрид,"Управление памятью."
Data Scientist,Data Scientist (Bias Detection),3-5,"Python, Fairness Metrics, Bias Mitigation",Москва,135000,225000,Полная,Гибрид,"Обнаружение смещений."
Data Scientist,Data Scientist (Uncertainty),3-5,"Python, Bayesian Methods, Calibration",Москва,130000,220000,Полная,Гибрид,"Оценка неопределённости."
Full Stack,Full Stack Developer (Rate Limiting),3-5,"Redis, Token Bucket, API Protection",Регионы,105000,175000,Полная,Удалённо,"Rate limiting. Защита API."
Full Stack,Full Stack Developer (CORS),3-5,"CORS, Security, Headers, API, Browser",Москва,110000,180000,Полная,Гибрид,"CORS. Безопасность."
Мобильный разработчик,iOS Developer (Localization),3-5,"Swift, i18n, RTL, Plurals, Format",Москва,115000,190000,Полная,Гибрид,"Локализация. i18n."
Мобильный разработчик,Android Developer (Localization),3-5,"Kotlin, i18n, RTL, Plurals, Format",Москва,110000,185000,Полная,Гибрид,"Локализация. i18n."
ML Engineer,ML Engineer (Drift Detection),3-5,"Python, Statistical Tests, Monitoring",Москва,135000,225000,Полная,Гибрид,"Детекция дрейфа."
ML Engineer,ML Engineer (A/B Testing),3-5,"Python, Experiment Design, Stats, Power",Москва,130000,220000,Полная,Гибрид,"A/B тестирование."
Cloud Engineer,Cloud Engineer (Auto Scaling),4-6,"Auto Scaling, Metrics, Policies, Cost Opt",Москва,145000,240000,Полная,Гибрид,"Автомасштабирование."
Cloud Engineer,Cloud Engineer (Backup Strategy),4-6,"Backup Policies, Retention, Recovery",Москва,150000,250000,Полная,Гибрид,"Стратегия бэкапов."
Фронтенд-разработчик,Frontend Developer (Lazy Loading),3-5,"React, Code Splitting, Lazy, Performance",Регионы,100000,165000,Полная,Удалённо,"Ленивая загрузка."
Фронтенд-разработчик,Frontend Developer (Image Optimization),3-5,"React, Next.js Image, WebP, Lazy, CDN",Москва,110000,180000,Полная,Гибрид,"Оптимизация изображений."
Бэкенд-разработчик,Backend Developer (Idempotency),3-5,"Idempotent APIs, Keys, Retry, Reliability",Москва,120000,195000,Полная,Да,"Идемпотентность."
Бэкенд-разработчик,Backend Developer (Circuit Breaker),3-5,"Circuit Breaker, Retry, Fallback, Resilience",Москва,125000,200000,Полная,Гибрид,"Circuit breaker."
Python-разработчик,Python Developer (Virtual Envs),3-5,"Python, venv, Poetry, Dependency Management",Регионы,95000,160000,Полная,Удалённо,"Виртуальные окружения."
Python-разработчик,Python Developer (Logging),3-5,"Python, Structured Logging, ELK, Observability",Москва,105000,170000,Полная,Гибрид,"Логирование. Наблюдаемость."
Data Scientist,Data Scientist (Data Lineage),3-5,"Python, Metadata, Lineage Tracking",Москва,130000,215000,Полная,Гибрид,"Линедж данных."
Data Scientist,Data Scientist (Model Registry),3-5,"Python, MLflow, Versioning, Deployment",Москва,135000,225000,Полная,Гибрид,"Реестр моделей."
Full Stack,Full Stack Developer (Compression),3-5,"Gzip, Brotli, HTTP/2, CDN, Performance",Регионы,105000,175000,Полная,Удалённо,"Сжатие. Протоколы."
Full Stack,Full Stack Developer (Security Headers),3-5,"CSP, HSTS, X-Frame, Security, Headers",Москва,110000,180000,Полная,Гибрид,"Заголовки безопасности."
Мобильный разработчик,iOS Developer (Background Tasks),3-5,"Swift, Background Fetch, BGProcessing",Москва,120000,195000,Полная,Гибрид,"Фоновые задачи."
Мобильный разработчик,Android Developer (Background Tasks),3-5,"Kotlin, WorkManager, JobScheduler",Москва,115000,190000,Полная,Гибрид,"Фоновые задачи."
ML Engineer,ML Engineer (Feature Store),3-5,"Python, Feast, Feature Serving, Online/Offline",Москва,135000,225000,Полная,Гибрид,"Feature store."
ML Engineer,ML Engineer (Model Serving),3-5,"Python, TorchServe, Triton, Scaling",Москва,140000,235000,Полная,Гибрид,"Сервинг моделей."
Cloud Engineer,Cloud Engineer (Service Mesh),4-6,"Istio, Linkerd, mTLS, Observability",Москва,155000,255000,Полная,Гибрид,"Service mesh."
Cloud Engineer,Cloud Engineer (Infrastructure Testing),4-6,"Terratest, Kitchen, Testing IaC",Москва,150000,250000,Полная,Гибрид,"Тестирование инфраструктуры."
Фронтенд-разработчик,Frontend Developer (Bundle Analysis),3-5,"Webpack Bundle Analyzer, Tree Shaking",Регионы,100000,165000,Полная,Удалённо,"Анализ бандла."
Фронтенд-разработчик,Frontend Developer (Prefetching),3-5,"React, Prefetch, Preload, Performance",Москва,110000,180000,Полная,Гибрид,"Префетчинг."
Бэкенд-разработчик,Backend Developer (Connection Pooling),3-5,"DB Pools, Redis Pools, Connection Mgmt",Москва,120000,195000,Полная,Да,"Пул соединений."
Бэкенд-разработчик,Backend Developer (Request Tracing),3-5,"OpenTelemetry, Jaeger, Tracing, Debugging",Москва,125000,200000,Полная,Гибрид,"Трассировка запросов."
Python-разработчик,Python Developer (Async DB),3-5,"asyncpg, aiomysql, Async ORM, Performance",Регионы,100000,165000,Полная,Удалённо,"Асинхронные БД."
Python-разработчик,Python Developer (C Extensions),3-5,"Python, Cython, C API, Performance",Москва,115000,190000,Полная,Гибрид,"C-расширения."
Data Scientist,Data Scientist (Experiment Tracking),3-5,"Python, MLflow, Weights & Biases, Metrics",Москва,130000,215000,Полная,Гибрид,"Трекинг экспериментов."
Data Scientist,Data Scientist (Data Validation),3-5,"Python, Great Expectations, Schema, Quality",Москва,135000,225000,Полная,Гибрид,"Валидация данных."
Full Stack,Full Stack Developer (HTTP/3),3-5,"HTTP/3, QUIC, Performance, CDN",Регионы,105000,175000,Полная,Удалённо,"HTTP/3. QUIC."
Full Stack,Full Stack Developer (Edge Caching),3-5,"CDN, Cache Headers, Vary, Stale-While-Revalidate",Москва,110000,180000,Полная,Гибрид,"Кэширование на edge."
Мобильный разработчик,iOS Developer (Memory Mgmt),3-5,"Swift, ARC, Weak/Strong, Leaks",Москва,120000,195000,Полная,Гибрид,"Управление памятью."
Мобильный разработчик,Android Developer (Memory Mgmt),3-5,"Kotlin, Memory Leaks, LeakCanary",Москва,115000,190000,Полная,Гибрид,"Управление памятью."
ML Engineer,ML Engineer (Data Augmentation),3-5,"Python, Albumentations, Text Aug, Strategy",Москва,135000,225000,Полная,Гибрид,"Аугментация данных."
ML Engineer,ML Engineer (Ensemble Methods),3-5,"Python, Bagging, Boosting, Stacking",Москва,140000,235000,Полная,Гибрид,"Ансамбли."
Cloud Engineer,Cloud Engineer (Zero Trust),4-6,"Zero Trust, Identity, MFA, Micro-Segmentation",Москва,160000,270000,Полная,Гибрид,"Zero Trust."
Cloud Engineer,Cloud Engineer (Chaos Engineering),4-6,"Chaos Mesh, Fault Injection, Resilience",Москва,155000,260000,Полная,Гибрид,"Хаос-инжиниринг."
Фронтенд-разработчик,Frontend Developer (Virtualization),3-5,"React Virtualized, Windowing, Large Lists",Регионы,100000,165000,Полная,Удалённо,"Виртуализация."
Фронтенд-разработчик,Frontend Developer (Service Workers),3-5,"Service Workers, Offline, Cache, PWA",Москва,110000,180000,Полная,Гибрид,"Service Workers."
Бэкенд-разработчик,Backend Developer (Rate Limiting Advanced),4-6,"Distributed Rate Limiting, Redis, Lua",Москва,130000,215000,Полная,Гибрид,"Распределённый rate limiting."
Бэкенд-разработчик,Backend Developer (Distributed Locks),3-5,"Redis Locks, etcd, Consensus, Coordination",Москва,125000,200000,Полная,Да,"Распределённые блокировки."
Python-разработчик,Python Developer (Multiprocessing),3-5,"Python, multiprocessing, Pool, Shared Memory",Регионы,100000,165000,Полная,Удалённо,"Мультипроцессинг."
Python-разработчик,Python Developer (Cython),3-5,"Python, Cython, C Extensions, Performance",Москва,115000,190000,Полная,Гибрид,"Cython."
Data Scientist,Data Scientist (Transfer Learning),3-5,"Python, Pretrained Models, Fine-tuning",Москва,135000,225000,Полная,Гибрид,"Transfer learning."
Data Scientist,Data Scientist (Meta-Learning),3-5,"Python, Few-Shot, MAML, Meta-Optimization",Москва,140000,235000,Полная,Гибрид,"Мета-обучение."
Full Stack,Full Stack Developer (Subresource Integrity),3-5,"SRI, Hashes, CDN, Security, Integrity",Регионы,105000,175000,Полная,Удалённо,"SRI."
Full Stack,Full Stack Developer (Content Security Policy),3-5,"CSP, Nonce, Hash, Report-Only, Security",Москва,110000,180000,Полная,Гибрид,"CSP."
Мобильный разработчик,iOS Developer (App Extensions),3-5,"Swift, Extensions, Share, Widget, Today",Москва,120000,195000,Полная,Гибрид,"App Extensions."
Мобильный разработчик,Android Developer (App Widgets),3-5,"Kotlin, AppWidgetProvider, RemoteViews",Москва,115000,190000,Полная,Гибрид,"App Widgets."
ML Engineer,ML Engineer (Model Distillation),3-5,"Python, Knowledge Distillation, Teacher-Student",Москва,135000,225000,Полная,Гибрид,"Дистилляция моделей."
ML Engineer,ML Engineer (Quantization Aware Training),3-5,"Python, QAT, INT8, Accuracy, Deployment",Москва,140000,235000,Полная,Гибрид,"Quantization aware training."
Cloud Engineer,Cloud Engineer (Immutable Infrastructure),4-6,"Packer, AMI, Immutable, Rollback",Москва,155000,255000,Полная,Гибрид,"Неизменяемая инфраструктура."
Cloud Engineer,Cloud Engineer (Blue-Green Deployment),4-6,"Blue-Green, Canary, Rollout, Zero-Downtime",Москва,160000,270000,Полная,Гибрид,"Blue-green деплой."
